"","value"
"131","https://lopezobrador.org.mx/2020/01/18/version-estenografica-inauguracion-del-camino-rural-santos-reyes-yucuna-y-dialogo-con-el-pueblo-mixteco-en-oaxaca/"
"132","https://lopezobrador.org.mx/2020/01/17/version-estenografica-inauguracion-del-camino-rural-san-antonio-sinicahua-y-dialogo-con-el-pueblo-mixteco-en-oaxaca/"
"133","https://lopezobrador.org.mx/2020/01/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-237/"
"134","https://lopezobrador.org.mx/2020/01/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-236/"
"135","https://lopezobrador.org.mx/2020/01/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-235/"
"136","https://lopezobrador.org.mx/2020/01/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-234/"
"137","https://lopezobrador.org.mx/2020/01/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-233/"
"138","https://lopezobrador.org.mx/2020/01/12/version-estenografica-dialogo-con-la-comunidad-de-la-sierra-alta-de-sonora-en-bavispe-sonora/"
"139","https://lopezobrador.org.mx/2020/01/11/version-estenografica-programas-integrales-de-bienestar-en-agua-prieta-sonora/"
"140","https://lopezobrador.org.mx/2020/01/11/version-estenografica-programas-integrales-para-el-bienestar-en-nuevo-casas-grandes-chihuahua/"
"141","https://lopezobrador.org.mx/2020/01/10/version-estenografica-programas-de-bienestar-mejoramiento-urbano-y-zona-libre-de-la-frontera-norte-en-chihuahua/"
"142","https://lopezobrador.org.mx/2020/01/10/version-estenografica-encuentro-con-las-industrias-maquiladora-y-manufacturera-en-ciudad-juarez-chihuahua/"
"143","https://lopezobrador.org.mx/2020/01/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-232/"
"144","https://lopezobrador.org.mx/2020/01/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-231/"
"145","https://lopezobrador.org.mx/2020/01/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-230/"
"146","https://lopezobrador.org.mx/2020/01/07/version-estenografica-31-reunion-con-consules-embajadoras-y-embajadores-de-mexico/"
"147","https://lopezobrador.org.mx/2020/01/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-229/"
"148","https://lopezobrador.org.mx/2020/01/06/version-estenografica-dia-de-las-enfermeras-y-los-enfermeros-en-yautepec-morelos/"
"149","https://lopezobrador.org.mx/2020/01/06/version-estenografica-programa-de-mejoramiento-urbano-en-ayala-morelos/"
"150","https://lopezobrador.org.mx/2020/01/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-228/"
"151","https://lopezobrador.org.mx/2020/01/05/version-estenografica-dialogo-con-pueblos-indigenas-y-avances-en-universidades-para-el-bienestar-en-texcoco-estado-de-mexico/"
"152","https://lopezobrador.org.mx/2020/01/05/version-estenografica-dialogo-con-pueblos-indigenas-en-huayacocotla-veracruz/"
"153","https://lopezobrador.org.mx/2020/01/04/version-estenografica-dialogo-con-pueblos-indigenas-en-pahuatlan-puebla/"
"154","https://lopezobrador.org.mx/2020/01/04/version-estenografica-dialogo-con-pueblos-indigenas-en-tenango-de-doria-hidalgo/"
